Everybody Hurts;R.E.M.;1992;75;0.467;0.324;0.118;94.301;3
Summer Of '69;Bryan Adams;1984;82;0.508;0.834;0.0732;139.131;4
God Only Knows - Remastered;The Beach Boys;1966;71;0.521;0.487;0.0579;117.072;4
Dani California;Red Hot Chili Peppers;2006;77;0.556;0.913;0.346;96.184;4
Rhiannon;Fleetwood Mac;1975;73;0.723;0.49;0.0923;129.012;4
Tears in Heaven ;Eric Clapton;1992;72;0.695;0.336;0.701;79.109;4
Message In A Bottle;The Police;1979;74;0.577;0.808;0.221;151.008;4
Heartbreaker - 1990 Remaster;Led Zeppelin;1969;63;0.403;0.709;0.132;97.161;4
Don't Speak;No Doubt;1995;68;0.52;0.709;0.18;76.039;4
Dazed and Confused - 1990 Remaster;Led Zeppelin;1969;63;0.271;0.553;0.0999;86.762;3
Hello, I Love You;The Doors;1968;62;0.597;0.554;0.0766;117.835;4
Take It Easy - 2013 Remaster;Eagles;1972;76;0.575;0.67;0.129;139.191;4
Beast Of Burden - Remastered;The Rolling Stones;1978;73;0.783;0.878;0.0426;100.626;4
Man in the Box;Alice In Chains;1990;73;0.355;0.791;0.0969;106.392;4
Ohio;Crosby, Stills, Nash & Young;1974;67;0.445;0.529;0.184;79.296;4
I Won't Back Down;Tom Petty;1989;73;0.765;0.476;0.165;114.02;4
War Pigs / Luke's Wall - 2012 - Remaster;Black Sabbath;1970;65;0.332;0.623;0.278;183.097;4
Solsbury Hill;Peter Gabriel;1977;62;0.683;0.63;0.314;102.457;1
Legs - 2008 Remaster;ZZ Top;1983;61;0.611;0.946;0.36;125.398;4
Are You Gonna Be My Girl;Jet;2003;75;0.613;0.953;0.152;105.046;4
Say It Ain't So;Weezer;1994;74;0.634;0.551;0.07;151.779;4
She Sells Sanctuary;The Cult;2000;64;0.55;0.765;0.132;139.453;4
Iron Man - 2012 - Remaster;Black Sabbath;1970;66;0.336;0.792;0.0437;155.587;4
Cannonball;The Breeders;1993;65;0.502;0.758;0.284;112.508;4
Maybe I'm Amazed - Live;Paul McCartney;2003;26;0.334;0.924;0.98;147.33;4
Can't Stop;Red Hot Chili Peppers;2002;80;0.618;0.938;0.167;91.455;4
